lila_lemma	lila_inftype	inftype_qid
lemma/74306	v1r	Q331
lemma/84684	v4r	Q335
lemma/85991	v1r	Q331
lemma/87985	v1d	Q330
lemma/88037	v3r	Q334
lemma/91424	v1r	Q331
lemma/94139	v1r	Q331
lemma/94186	v2r	Q332
lemma/94799	v3r	Q334
lemma/98912	v5r	Q336
lemma/101486	v3r	Q334
lemma/106130	v3r	Q334
lemma/107818	v3r	Q334
lemma/108582	v1r	Q331
lemma/114525	v1r	Q331
lemma/118909	v1r	Q331
lemma/122495	v6e	Q355
lemma/122604	v4r	Q335
lemma/126784	v1r	Q331
lemma/126835	v5r	Q336
lemma/137252	v2r	Q332
lemma/137711	v5r	Q336
lemma/28562	v1r	Q331
lemma/33416	v1r	Q331
lemma/46801	v1r	Q331
lemma/47052	v1r	Q331
lemma/51164	v3r	Q334
lemma/54256	v1r	Q331
lemma/58545	v1r	Q331
lemma/58923	v4d	Q340
lemma/61014	v1r	Q331
lemma/61744	v1r	Q331
lemma/64756	v3r	Q334
lemma/65788	v1d	Q330
lemma/79837	v1r	Q331
lemma/82314	v1r	Q331
lemma/87628	v1r	Q331
lemma/95106	v1r	Q331
lemma/96536	v1d	Q330
lemma/96537	v1r	Q331
lemma/98862	v3r	Q334
lemma/98969	v1r	Q331
lemma/99887	v1r	Q331
lemma/100618	v3r	Q334
lemma/104340	v1r	Q331
lemma/106334	v3r	Q334
lemma/107973	v4r	Q335
lemma/108277	v2r	Q332
lemma/108278	v3r	Q334
lemma/109705	v1r	Q331
lemma/113721	v2r	Q332
lemma/114117	v4r	Q335
lemma/115590	v3r	Q334
lemma/116886	v3r	Q334
lemma/117171	v5r	Q336
lemma/122393	v1r	Q331
lemma/123743	v1r	Q331
lemma/126427	v3r	Q334
lemma/128328	v3r	Q334
lemma/129180	v1d	Q330
lemma/129465	v1r	Q331
lemma/134448	v1r	Q331
lemma/141880	v3r	Q334
lemma/46190	v1r	Q331
lemma/46195	v1r	Q331
lemma/47669	v1r	Q331
lemma/48587	v1r	Q331
lemma/48740	v1r	Q331
lemma/53626	v3r	Q334
lemma/59016	v1r	Q331
lemma/59055	v1r	Q331
lemma/59892	v1r	Q331
lemma/60046	v1r	Q331
lemma/62290	v1r	Q331
lemma/62341	v1d	Q330
lemma/63166	v1r	Q331
lemma/66402	v4r	Q335
lemma/72772	v1r	Q331
lemma/83748	v1r	Q331
lemma/84150	v3r	Q334
lemma/85604	v1r	Q331
lemma/87087	v1r	Q331
lemma/87374	v3r	Q334
lemma/88038	v1r	Q331
lemma/89112	v1r	Q331
lemma/94187	v4r	Q335
lemma/95253	v1r	Q331
lemma/95769	v2d	Q347
lemma/98787	v3r	Q334
lemma/99014	v3r	Q334
lemma/99659	v1r	Q331
lemma/99700	v3r	Q334
lemma/100976	v1r	Q331
lemma/106132	v1r	Q331
lemma/107771	v1r	Q331
lemma/107819	v1r	Q331
lemma/108171	v5r	Q336
lemma/109306	v1r	Q331
lemma/111839	v1d	Q330
lemma/114273	v4r	Q335
lemma/114526	v3r	Q334
lemma/117110	v1r	Q331
lemma/122548	v1r	Q331
lemma/123267	v2r	Q332
lemma/125422	v1r	Q331
lemma/125811	v1r	Q331
lemma/126019	v1r	Q331
lemma/126785	v1r	Q331
lemma/126836	v1r	Q331
lemma/128263	v5r	Q336
lemma/128327	v1r	Q331
lemma/129339	v1r	Q331
lemma/134290	v1r	Q331
lemma/137229	v1r	Q331
lemma/141728	v1r	Q331
lemma/26092	v2e	Q352
lemma/27985	v4r	Q335
lemma/29725	v1r	Q331
lemma/30936	v1r	Q331
lemma/39490	v1r	Q331
lemma/40897	v1r	Q331
lemma/43176	v1r	Q331
lemma/46185	v1r	Q331
lemma/50496	v1r	Q331
lemma/59515	v1r	Q331
lemma/59923	v1r	Q331
lemma/63009	v1r	Q331
lemma/68323	v1r	Q331
lemma/75319	v1r	Q331
lemma/75597	v1r	Q331
lemma/81874	v1r	Q331
lemma/84481	v1r	Q331
lemma/90915	v5r	Q336
lemma/94285	v2r	Q332
lemma/95058	v2r	Q332
lemma/96222	v1d	Q330
lemma/96738	v1r	Q331
lemma/102273	v1r	Q331
lemma/104154	v1d	Q330
lemma/112405	v4r	Q335
lemma/112851	v2r	Q332
lemma/113722	v3r	Q334
lemma/116575	v3r	Q334
lemma/117955	v3r	Q334
lemma/118594	v1e	Q346
lemma/118869	v3r	Q334
lemma/119582	v3r	Q334
lemma/122394	v1r	Q331
lemma/122779	v3r	Q334
lemma/125171	v1r	Q331
lemma/126858	v3r	Q334
lemma/127873	v1r	Q331
lemma/127920	v2r	Q332
lemma/128374	v2r	Q332
lemma/128676	v3r	Q334
lemma/27521	v1r	Q331
lemma/28030	v1r	Q331
lemma/28262	v1r	Q331
lemma/31035	v1r	Q331
lemma/32908	v1r	Q331
lemma/46403	v1r	Q331
lemma/46968	v1r	Q331
lemma/47684	v3d	Q338
lemma/50956	v6	Q345
lemma/63367	v1r	Q331
lemma/74914	v1r	Q331
lemma/76646	v1r	Q331
lemma/81782	v1r	Q331
lemma/84533	v1r	Q331
lemma/87036	v3r	Q334
lemma/87375	v1r	Q331
lemma/87471	v1r	Q331
lemma/88002	v1r	Q331
lemma/89523	v1d	Q330
lemma/94188	v2r	Q332
lemma/95429	v1r	Q331
lemma/95471	v1r	Q331
lemma/99015	v2r	Q332
lemma/99016	v3r	Q334
lemma/99701	v1d	Q330
lemma/99702	v1r	Q331
lemma/100870	v3r	Q334
lemma/106442	v2r	Q332
lemma/106962	v3r	Q334
lemma/110238	v2r	Q332
lemma/112482	v3r	Q334
lemma/112796	v5d	Q341
lemma/112797	v5r	Q336
lemma/113835	v1r	Q331
lemma/114527	v1r	Q331
lemma/114649	v3r	Q334
lemma/117212	v2r	Q332
lemma/117319	v3r	Q334
lemma/118035	v1r	Q331
lemma/122347	v2r	Q332
lemma/123271	v1r	Q331
lemma/126388	v3r	Q334
lemma/126786	v2r	Q332
lemma/128264	v2r	Q332
lemma/130891	v5r	Q336
lemma/26144	v1r	Q331
lemma/26961	v1r	Q331
lemma/29787	v1d	Q330
lemma/44759	v1r	Q331
lemma/46713	v1r	Q331
lemma/50390	v1r	Q331
lemma/50617	v1r	Q331
lemma/51883	v1r	Q331
lemma/53932	v1r	Q331
lemma/62355	v1r	Q331
lemma/68574	v1r	Q331
lemma/70026	v1r	Q331
lemma/73490	v1r	Q331
lemma/75326	v1r	Q331
lemma/75570	v1r	Q331
lemma/77737	v1r	Q331
lemma/78941	v1r	Q331
lemma/79966	v1r	Q331
lemma/82798	v1r	Q331
lemma/87428	v4r	Q335
lemma/87685	v1r	Q331
lemma/90583	v3r	Q334
lemma/90916	v6r	Q337
lemma/94107	v1r	Q331
lemma/94286	v3r	Q334
lemma/95060	v1r	Q331
lemma/96140	v3r	Q334
lemma/96223	v3r	Q334
lemma/98052	v1d	Q330
lemma/98053	v1r	Q331
lemma/99889	v1r	Q331
lemma/106336	v1r	Q331
lemma/106408	v2r	Q332
lemma/107662	v1r	Q331
lemma/108279	v3r	Q334
lemma/108296	v1r	Q331
lemma/108631	v4r	Q335
lemma/109668	v5r	Q336
lemma/112407	v3r	Q334
lemma/114548	v1r	Q331
lemma/116577	v3r	Q334
lemma/116652	v3r	Q334
lemma/117375	v1r	Q331
lemma/117891	v1r	Q331
lemma/122802	v4r	Q335
lemma/126429	v3r	Q334
lemma/126648	v1d	Q330
lemma/128692	v2r	Q332
lemma/135419	v1r	Q331
lemma/141882	v3d	Q338
lemma/27629	v1r	Q331
lemma/29056	v3r	Q334
lemma/30915	v1r	Q331
lemma/31016	v4r	Q335
lemma/33388	v1r	Q331
lemma/46595	v2r	Q332
lemma/46719	v1r	Q331
lemma/47686	v1r	Q331
lemma/50957	v1r	Q331
lemma/53353	v1r	Q331
lemma/53404	v3r	Q334
lemma/55585	v1r	Q331
lemma/67775	v1r	Q331
lemma/69249	v1r	Q331
lemma/75162	v1r	Q331
lemma/75729	v7e	Q343
lemma/81004	v3d	Q338
lemma/88003	v5r	Q336
lemma/92772	v1r	Q331
lemma/94140	v3r	Q334
lemma/94189	v4r	Q335
lemma/94617	v1r	Q331
lemma/94695	v5r	Q336
lemma/95255	v1r	Q331
lemma/96173	v3r	Q334
lemma/99782	v1r	Q331
lemma/100871	v1r	Q331
lemma/100978	v2r	Q332
lemma/101488	v3r	Q334
lemma/104924	v1r	Q331
lemma/108172	v3r	Q334
lemma/110910	v1r	Q331
lemma/114344	v3r	Q334
lemma/116168	v1r	Q331
lemma/116193	v1r	Q331
lemma/117269	v1r	Q331
lemma/118910	v5r	Q336
lemma/120147	v1d	Q330
lemma/120148	v1r	Q331
lemma/122549	v1r	Q331
lemma/122605	v2r	Q332
lemma/122753	v3r	Q334
lemma/126271	v2e	Q352
lemma/126787	v5d	Q341
lemma/128265	v3r	Q334
lemma/27394	v1d	Q330
lemma/30865	v1r	Q331
lemma/35885	v1r	Q331
lemma/38114	v1r	Q331
lemma/41690	v1r	Q331
lemma/41741	v1r	Q331
lemma/46617	v3r	Q334
lemma/47209	v1r	Q331
lemma/55592	v1r	Q331
lemma/60457	v4r	Q335
lemma/67424	v1r	Q331
lemma/68114	v1r	Q331
lemma/73630	v1r	Q331
lemma/74245	v1r	Q331
lemma/75571	v4r	Q335
lemma/75622	v3	Q333
lemma/78942	v1r	Q331
lemma/81927	v1r	Q331
lemma/85121	v1r	Q331
lemma/87647	v3r	Q334
lemma/90052	v1r	Q331
lemma/91796	v4r	Q335
lemma/94287	v2d	Q347
lemma/96224	v1r	Q331
lemma/97142	v3r	Q334
lemma/97269	v4r	Q335
lemma/98400	v3d	Q338
lemma/98865	v3r	Q334
lemma/99128	v1r	Q331
lemma/101962	v6r	Q337
lemma/102048	v3r	Q334
lemma/102469	v2r	Q332
lemma/102865	v1r	Q331
lemma/102916	v1r	Q331
lemma/103017	v3r	Q334
lemma/106409	v3r	Q334
lemma/107675	v1r	Q331
lemma/107714	v3r	Q334
lemma/107975	v1d	Q330
lemma/111101	v3r	Q334
lemma/112408	v3r	Q334
lemma/112447	v2r	Q332
lemma/114421	v1r	Q331
lemma/116052	v5r	Q336
lemma/116653	v2r	Q332
lemma/116654	v4r	Q335
lemma/118647	v1d	Q330
lemma/118648	v1r	Q331
lemma/118875	v1r	Q331
lemma/119156	v1r	Q331
lemma/119625	v1r	Q331
lemma/120556	v1r	Q331
lemma/122726	v3r	Q334
lemma/128694	v1r	Q331
lemma/28709	v1r	Q331
lemma/32975	v1r	Q331
lemma/36387	v1r	Q331
lemma/43606	v1r	Q331
lemma/44704	v1r	Q331
lemma/46252	v3r	Q334
lemma/47616	v1r	Q331
lemma/49099	v3r	Q334
lemma/52549	v1r	Q331
lemma/58089	v1r	Q331
lemma/58441	v1r	Q331
lemma/70365	v1r	Q331
lemma/81820	v1r	Q331
lemma/83922	v4r	Q335
lemma/84669	v1r	Q331
lemma/85995	v1r	Q331
lemma/87524	v1d	Q330
lemma/87525	v1r	Q331
lemma/88039	v1r	Q331
lemma/92779	v1r	Q331
lemma/94142	v1r	Q331
lemma/95475	v3r	Q334
lemma/96174	v1r	Q331
lemma/96487	v1r	Q331
lemma/97551	v1r	Q331
lemma/98788	v1d	Q330
lemma/99783	v1r	Q331
lemma/103426	v1r	Q331
lemma/106230	v3r	Q334
lemma/109307	v3r	Q334
