token_id	wikibase_qid
005.SCG*LB4.CP--++2.N.-5.11-5.12-8W6	Q478
005.SCG*LB1.CP-4++4.N.-8.7-3.9-2W11	Q479
005.SCG*LB2.CP-9++8.N.11.12-4.17-2W14	Q480
005.SCG*LB1.CP-4++4.N.-2.21-3.24-4W11	Q481
005.SCG*LB3.CP-8++0.N.-1.13-7.16-5W5	Q482
005.SCG*LB1.CP-9++3.N.12.27-2.30-5W6	Q483
005.SCG*LB3.CP-6++6.N.-6.7-5.11-2W8	Q484
005.SCG*LB3.CP15++3.N.-2.27-1.30-1W22	Q485
005.SCG*LB3.CP-8++0.N.17.12-1.13-2W4	Q486
005.SCG*LB3.CP-8++0.N.17.7-5.11-4W19	Q487
005.SCG*LB1.CP--++1.N.-2.23-2.25-1W5	Q488
005.SCG*LB1.CP--++1.N.-2.16-1.20-1W5	Q489
005.SCG*LB3.CP-2++4.N.-7.17-1.19-2W8	Q490
005.SCG*LB2.CP-1++1.N.-1.1-1.7-4W24	Q491
005.SCG*LB3.CP15++4.N.-9.15-3.18-3W16	Q492
005.SCG*LB4.CP-1++7.N.19.4-3.7-2W18	Q493
005.SCG*LB3.CP12++0.N.24.10-1.12-4W10	Q494
005.SCG*LB2.CP-1++9.N.-7.1-1.3-2W12	Q495
005.SCG*LB4.CP-9++1.N.-5.8-3.12-5W32	Q496
005.SCG*LB4.CP-6++6.N.-9.7-3.9-4W12	Q497
005.SCG*LB4.CP-6++6.N.-9.5-1.7-2W15	Q498
005.SCG*LB4.CP-8++2.N.11.4-6.13-2W61	Q499
005.SCG*LB1.CP-9++5.N.-7.3-3.4-5W9	Q500
005.SCG*LB1.CP-6++7.N.11.7-5.8-3W6	Q501
005.SCG*LB3.CP-9++5.N.11.9-1.9-4W1	Q502
005.SCG*LB3.CP14++1.N.-9.9-4.15-1W36	Q503
005.SCG*LB4.CP-2++3.N.11.13-7.16-3W11	Q504
005.SCG*LB2.CP10++0.N.-4.17-1.19-6W8	Q505
005.SCG*LB1.CP-9++0.N.-2.5-4.14-2W30	Q506
005.SCG*LB2.CP-1++0.N.-1.23-1.24-6W9	Q507
005.SCG*LB2.CP-7++4.N.-6.14-6.18-1W10	Q508
005.SCG*LB1.CP-7++7.N.-5.7-6.9-3W9	Q509
