lemma	lemmaLabel	variant	variantLabel
lemma/107229	incursor	lemma/107230	incurso
lemma/107230	incurso	lemma/107229	incursor
lemma/111082	lumphor	lemma/111083	lympho
lemma/111083	lympho	lemma/111082	lumphor
lemma/119759	progredior	lemma/142051	progredio
lemma/128241	tibizinor	lemma/128242	tibicino
lemma/128242	tibicino	lemma/128241	tibizinor
lemma/136262	benemereor	lemma/136263	benemereo
lemma/136263	benemereo	lemma/136262	benemereor
lemma/142051	progredio	lemma/119759	progredior
lemma/98409	delapidor	lemma/98410	delapido
lemma/98410	delapido	lemma/98409	delapidor
lemma/106262	illino	lemma/106263	illinio
lemma/106263	illinio	lemma/106262	illino
lemma/112102	mercor	lemma/112103	merco
lemma/112103	merco	lemma/112102	mercor
lemma/116143	pascor	lemma/116144	pasco
lemma/46623	demoro	lemma/98572	demoror
lemma/46762	depossido	lemma/46761	depossideo
lemma/59859	instruor	lemma/108284	instruo
lemma/87500	adiutor	lemma/87501	adiuto
lemma/87501	adiuto	lemma/87500	adiutor
lemma/98572	demoror	lemma/46623	demoro
lemma/101473	eructor	lemma/101474	eructo
lemma/101474	eructo	lemma/101473	eructor
lemma/120445	pullo	lemma/74171	pullor
lemma/74171	pullor	lemma/120445	pullo
lemma/89852	architector	lemma/89853	architecto
lemma/89853	architecto	lemma/89852	architector
lemma/98779	deprecor	lemma/98780	depreco
lemma/98780	depreco	lemma/98779	deprecor
lemma/105776	humo	lemma/57965	humor
lemma/107183	increpor	lemma/107184	increpo
lemma/107184	increpo	lemma/107183	increpor
lemma/46761	depossideo	lemma/46762	depossido
lemma/57965	humor	lemma/105776	humo
lemma/92837	carinor	lemma/92838	carino
lemma/92838	carino	lemma/92837	carinor
lemma/94170	circumlino	lemma/94171	circumlinio
lemma/98707	depilor	lemma/98708	depilo
lemma/98708	depilo	lemma/98707	depilor
lemma/103165	ferueo	lemma/103166	feruo
lemma/103166	feruo	lemma/103165	ferueo
lemma/114455	obstetricor	lemma/114456	obstetrico
lemma/114456	obstetrico	lemma/114455	obstetricor
lemma/116222	patior	lemma/116223	patio
lemma/116223	patio	lemma/116222	patior
lemma/125331	spernor	lemma/125332	sperno
lemma/125331	spernor	lemma/125333	sperno
lemma/125332	sperno	lemma/125331	spernor
lemma/125332	sperno	lemma/125333	sperno
lemma/125333	sperno	lemma/125331	spernor
lemma/125333	sperno	lemma/125332	sperno
lemma/141733	constat	lemma/96151	consto
lemma/95045	comitior	lemma/95046	comitio
lemma/95046	comitio	lemma/95045	comitior
lemma/96151	consto	lemma/141733	constat
lemma/109584	intromito	lemma/109585	intromitto
lemma/109585	intromitto	lemma/109584	intromito
lemma/112456	misereor	lemma/112457	misereo
lemma/112456	misereor	lemma/141953	miseret
lemma/112457	misereo	lemma/112456	misereor
lemma/112457	misereo	lemma/141953	miseret
lemma/117814	pigritor	lemma/71372	pigrito
lemma/118857	praedor	lemma/118858	praedo
lemma/118858	praedo	lemma/118857	praedor
lemma/119506	principo	lemma/73421	principor
lemma/122885	ruror	lemma/122886	ruro
lemma/122886	ruro	lemma/122885	ruror
lemma/141953	miseret	lemma/112456	misereor
lemma/141953	miseret	lemma/112457	misereo
lemma/71372	pigrito	lemma/117814	pigritor
lemma/73421	principor	lemma/119506	principo
lemma/93383	cenor	lemma/93384	ceno
lemma/93384	ceno	lemma/93383	cenor
lemma/118923	praefulgeo	lemma/118924	praefulgo
lemma/118924	praefulgo	lemma/118923	praefulgeo
lemma/106316	imaginor	lemma/106317	imagino
lemma/106317	imagino	lemma/106316	imaginor
lemma/116144	pasco	lemma/116143	pascor
lemma/117815	pigror	lemma/117816	pigro
