lexeme	lila_lemma	wikibase_entry
a2921	90076	L19184
a2924	90079	L19185
a2928	90083	L19186
a2929	90084	L19187
a2956	90114	L19188
a2967	90127	L19189
a2971	90131	L19190
a2978	90138	L19191
a2980	90140	L19192
a3003	90164	L19193
a3016	90180	L19194
a3021	90185	L19195
a3027	90191	L19196
a3028	90192	L19197
a3034	90198	L19198
a3068	90236	L19199
a3070	90238	L19200
a3075	90243	L19201
a3083	90251	L19202
a3084	90252	L19203
a3091	90262	L19204
a3096	90267	L19205
a3101	90273	L19206
a3107	90279	L19207
a3110	90284	L19208
a3116	90292	L19209
a3123	90300	L19210
a3124	90301	L19211
a3134	90312	L19212
a3135	90313	L19213
a3137	90315	L19214
a3140	90320	L19215
a3141	90321	L19216
a3145	90325	L19217
a3147	90327	L19218
a3154	90335	L19219
a3155	90336	L19220
a3156	90337	L19221
a3157	90338	L19222
a3159	90340	L19223
a3160	90342	L19224
a3162	90344	L19225
a3168	90350	L19226
a3169	90351	L19227
a3170	90352	L19228
a3171	90353	L19229
a3175	90357	L19230
a3177	90359	L19231
a3183	90365	L19232
a3184	90366	L19233
a3186	90368	L19234
a3187	90369	L19235
a3188	90370	L19236
a3190	90372	L19237
a3191	90373	L19238
a3192	90374	L19239
a3193	90375	L19240
a3194	90376	L19241
a3196	90378	L19242
a3201	90383	L19243
a3203	90385	L19244
a3204	90386	L19245
a3209	90391	L19246
a3210	90392	L19247
a3212	90394	L19248
a3213	90395	L19249
a3229	90412	L19250
a3237	90421	L19251
a3238	90422	L19252
a3239	90423	L19253
a3247	90432	L19254
a3249	90434	L19255
a3253	90439	L19256
a3255	90441	L19257
a3259	90445	L19258
a3276	90465	L19259
a3280	90469	L19260
a3329	90522	L19261
a3334	90527	L19262
a3337	90530	L19263
a3338	90531	L19264
a3339	90532	L19265
a3344	90537	L19266
a3345	90538	L19267
a3346	90539	L19268
a3351	90544	L19269
a3352	90545	L19270
a3355	90548	L19271
a3358	90551	L19272
a3361	90554	L19273
a3362	90555	L19274
a3363	90556	L19275
a3365	90558	L19276
a3366	90559	L19277
a3368	90561	L19278
a3369	90562	L19279
a3370	90563	L19280
a3372	90565	L19281
a3373	90566	L19282
a3376	90569	L19283
a3379	90572	L19286
a3380	90573	L19287
a3381	90574	L19288
a3385	90578	L19289
a3386	90579	L19290
a3388	90582	L19291
a3389	90583	L19292
a3400	90596	L19293
a3406	90602	L19294
a3412	90610	L19295
a3413	90611	L19296
a3416	90614	L19297
a3378	90571	L19303
a3378	90571	L19303
a3423	90622	L19304
a3432	90632	L19305
a3437	90638	L19306
a3440	90641	L19307
a3443	90644	L19308
a3448	90650	L19309
a3450	90652	L19310
a3451	90653	L19311
a3455	90657	L19312
a3456	90658	L19313
a3457	90659	L19314
a3463	90665	L19315
a3465	90667	L19316
a3468	90670	L19317
a3469	90671	L19318
a3469	90671	L19318
a3470	90672	L19319
a3471	90673	L19320
a3472	90674	L19321
a3478	90680	L19322
a3490	90694	L19323
a3491	90695	L19324
a3497	90704	L19325
a3525	90736	L19326
a3527	90738	L19327
a3540	90753	L19328
a3566	90781	L19329
a3574	90790	L19330
a3577	90793	L19331
a3577_sc	90794	L19332
a3580	90797	L19333
a3588	90805	L19334
a3588	90805	L19334
a3588	90805	L19334
a3593	90811	L19335
a3624	90851	L19336
a3627	90854	L19337
a3630	90857	L19338
a3642	90872	L19339
a3657	90887	L19340
a3715	90915	L19341
a3716	90916	L19342
a6471	90971	L19343
