lexeme	lila_lemma	wikibase_entry
c1909	L19720
c1910	L19721
c1911	L19722
c1912	L19723
c1914	L19724
c1916	L19725
c1917	L19726
c1918	L19727
c1920	L19728
c1921	L19729
c1925	L19730
c1927	L19731
c1928	L19732
c1929	L19733
c1930	L19734
c1931	L19735
c1933	L19736
c1934	L19737
c1935	L19738
c1936	L19739
c1938	L19740
c1986	L19741
c1991	L19742
c2018	L19743
c2019	L19744
c2027	L19745
c2030	L19746
c2030_sc	L19747
c2031	L19748
c2033	L19749
c2037	L19750
c2038	L19751
c2044	L19752
c2054	L19753
c2058	L19754
c2060	L19755
c2072	L19756
c2089	L19757
c2092	L19758
c2097	L19759
c2115	L19760
c2117	L19761
c2121	L19762
c2137	L19763
c2139	L19764
c2140	L19765
c2143	L19766
c2145	L19767
c2160	L19768
c2162	L19769
c2176	L19770
c2177	L19771
c2185	L19772
c2189	L19773
c2191	L19774
c2192	L19775
c2193	L19776
c2196	L19777
c2198	L19778
c2199	L19779
c2201	L19780
c2202	L19781
c2206	L19782
c2209	L19783
c2210	L19784
c2212	L19785
c2217	L19786
c2219	L19787
c2222	L19788
c2224	L19789
c2228	L19790
c2229	L19791
c2232	L19792
c2234	L19793
c2235	L19794
c2238	L19795
c2240	L19796
c2241	L19797
c2262	L19798
c2268	L19799
c2280	L19800
c2281	L19801
c2285	L19802
c2286	L19803
c2287	L19804
c2290	L19805
c2293	L19806
c2294	L19807
c2304	L19808
c2320	L19809
c2322	L19810
c2323	L19811
c2326	L19812
c2327	L19813
c2330	L19814
c2333	L19815
c2334	L19816
c2341	L19817
c2343	L19818
c2344	L19819
c2346	L19820
c2349	L19821
c2350	L19822
c2353	L19823
c2361	L19824
c2365	L19825
c2366	L19826
c2368	L19828
c2369	L19829
c2370	L19830
c2371	L19831
c2373	L19832
c2376	L19833
c2377	L19834
c2381	L19835
c2386	L19836
c2390	L19837
c2391	L19838
c2403	L19839
c2411	L19840
c2413	L19841
c2414	L19842
c2418	L19843
c2421	L19844
c2425	L19845
c2426	L19846
c2429	L19847
c2430	L19848
c2431	L19849
c2432	L19850
c2434	L19851
c2436	L19853
c2441	L19854
c2442	L19855
c2446	L19856
c2447	L19857
c2448	L19858
c2451	L19859
c2453	L19860
c2455	L19861
c2457	L19862
c2458	L19863
c2465	L19864
c2467	L19865
c2479	L19866
c2480	L19867
c2507	L19868
c2511	L19869
c2527	L19870
c2556	L19871
c2560	L19872
c2563	L19873
c2565	L19874
c2566	L19875
c2569	L19876
c2584	L19877
c2592	L19878
c2595	L19879
c2598	L19880
c2600	L19881
c2601	L19882
c2603	L19883
c2604	L19884
c2605	L19885
c2607	L19886
c2608	L19887
c2609	L19888
c2614	L19889
c2614_sc	L19890
c2615	L19891
c2618	L19892
c2619	L19893
c2622	L19894
c2627	L19895
c2628	L19896
c2629	L19897
c2631	L19898
c2637	L19899
c2645	L19900
c2655	L19901
c2656	L19902
c2658	L19903
c2660	L19904
c2662	L19905
c2663	L19906
c2664	L19907
c2665	L19908
c2668	L19909
c2671	L19910
c2677	L19911
c2678	L19912
c2679	L19913
c2682	L19914
c2686	L19915
c2689	L19916
c2694	L19917
c2695	L19918
c2704	L19919
c2710	L19920
c2711	L19921
c2712	L19922
c2714	L19924
c2719	L19925
c2722	L19926
c2723	L19927
c2724	L19928
c2725	L19929
c2731	L19930
c2733	L19931
c2734	L19932
c2735	L19933
c2736	L19934
c2737	L19935
c2739	L19936
c2745	L19937
c2746	L19938
c2753	L19939
c2756	L19940
c2757	L19941
c2758	L19942
c2765	L19943
c2776	L19944
c2778	L19945
c2785	L19946
c2786	L19947
c2789	L19948
c2790	L19949
c2791	L19950
c2797	L19951
c2802	L19952
c2803	L19953
c2805	L19954
c2806	L19955
c2810	L19956
c2811	L19957
c2813	L19958
c2816	L19959
c2819	L19960
c2820	L19961
c2824	L19962
c2826	L19963
c2827	L19964
c2832	L19965
c2836	L19966
c2839	L19967
c2840	L19968
c2841	L19969
c2842	L19970
c2847	L19971
c2848	L19972
c2851	L19973
c2853	L19974
c2854	L19975
c2856	L19976
c2865	L19977
c2868	L19978
c2869	L19979
c2871	L19980
c2872	L19981
c2880	L19982
c2881	L19983
c2885	L19984
c2894	L19985
c2895	L19986
c2899	L19987
c2902	L19988
c2904	L19989
c2909	L19990
c2912	L19991
c2918	L19992
c2922	L19993
c2925	L19994
c2927	L19995
c2931	L19996
c2932	L19997
c2933	L19998
c2943	L19999
c2944	L20000
c2946	L20001
c2949	L20003
c2949_sc	L20004
c2951	L20005
c2952	L20006
c2954	L20007
c2955	L20008
c2956	L20009
c2960	L20010
c2961	L20011
c2963	L20012
c2966	L20013
c2968	L20014
c2969	L20015
c2972	L20016
c2977	L20017
c2983	L20018
c2986	L20019
c2987	L20020
c2992	L20021
c2996	L20022
c3010	L20023
c3011	L20024
c3013	L20025
c3020	L20026
c3023	L20027
c3030	L20028
c3032	L20029
c3033	L20030
c3034	L20031
c3042	L20032
c3046	L20033
c3047	L20034
c3051	L20035
c3059	L20036
c3060	L20037
c3066	L20038
c3070	L20039
c3072	L20040
c3073	L20041
c3074	L20042
c3077	L20043
c3078	L20044
c3080	L20045
c3081	L20046
c3082	L20047
c3084	L20048
c3085	L20049
c3087	L20050
c3088	L20051
c3099	L20052
c3101	L20053
c3103	L20054
c3105	L20055
c3112	L20056
c3113	L20057
c3118	L20058
c3119	L20059
c3120	L20060
c3124	L20061
c3125	L20062
c3128	L20063
c3130	L20064
c3132	L20065
c3136	L20066
c3137	L20067
c3141	L20068
c3143	L20069
c3146	L20070
c3147	L20071
c3154	L20072
c3162	L20073
c3165	L20074
c3174	L20075
c3175	L20076
c3176	L20077
c3178	L20078
c3178_sc	L20079
c3179	L20080
c3182	L20081
c3183	L20082
c3183_sc	L20083
c3186	L20084
c3193	L20085
c3196	L20086
c3198	L20087
c3201	L20088
c3204	L20089
c3207	L20090
c3213	L20091
c3220	L20092
c3221	L20093
c3222	L20094
c3223	L20095
c3226	L20096
c3227	L20097
c3227_sc	L20098
c3234	L20099
c3237	L20101
c3241	L20102
c3242	L20103
c3244	L20104
c3246	L20105
c3247	L20106
c3256	L20107
c3258	L20108
c3260	L20109
c3263	L20110
c3264	L20111
c3267	L20112
c3268	L20113
c3273	L20114
c3278	L20115
c3281	L20116
c3282	L20117
c3283	L20118
c3284	L20119
c3286	L20120
c3289	L20121
c3291	L20122
c3293	L20123
c3296	L20124
c3301	L20125
c3303	L20126
c3305	L20127
c3306	L20128
c3307	L20129
c3312	L20130
c3313	L20131
c3316	L20132
c3317	L20133
c3318	L20134
c3319	L20135
c3320	L20136
c3323	L20137
c3326	L20139
c3327	L20140
c3328	L20141
c3329	L20142
c3337	L20143
c3338	L20144
c3339	L20145
c3340	L20146
c3341	L20147
c3343	L20148
c3345	L20149
c3346	L20150
c3348	L20151
c3351	L20152
c3355	L20153
c3359	L20154
c3360	L20155
c3366	L20156
c3370	L20157
c3371	L20158
c3374	L20159
c3376	L20160
c3377	L20161
c3379	L20162
c3383	L20163
c3385	L20164
c3386	L20165
c3393	L20166
c3400	L20167
c3402	L20168
c3403	L20169
c3404	L20170
c3411	L20171
c3418	L20172
c3419	L20173
c3420	L20174
c3428	L20175
c3435	L20176
c3440	L20177
c3442	L20178
c3444	L20179
c3446	L20180
c3448	L20181
c3449	L20182
c3451	L20183
c3452	L20184
c3454	L20185
c3455	L20186
c3456	L20187
c3460	L20188
c3461	L20189
c3463	L20190
c3464	L20191
c3467	L20192
c3468	L20193
c3469	L20194
c3470	L20195
c3471	L20196
c3472	L20197
c3473	L20198
c3475	L20199
c3476	L20200
c3479	L20201
c3480	L20202
c3481	L20203
c3484	L20204
c3489	L20205
c3496	L20206
c3499	L20207
c3500	L20208
c3506	L20209
c3510	L20210
c3512	L20211
c3514	L20212
c3515	L20213
c3516	L20214
c3517	L20215
c3526	L20216
c3528	L20217
c3532	L20218
c3536	L20219
c3540	L20220
c3541	L20221
c3543	L20222
c3549	L20223
c3555	L20224
c3568	L20225
c3569	L20226
c3570	L20227
c3571	L20228
c3573	L20229
c3575	L20230
c3581	L20231
c3583	L20232
c3588	L20233
c3590	L20234
c3593	L20235
c3595	L20236
c3596	L20237
c3597	L20238
c3599	L20239
c3601	L20240
c3602	L20241
c3603	L20242
c3604	L20243
c3605	L20244
c3610	L20245
c3611	L20246
c3615	L20247
c3616	L20248
c3620	L20249
c3622	L20250
c3625	L20251
c3626	L20252
c3628	L20253
c3629	L20254
c3632	L20255
c3633	L20256
c3635	L20257
c3637	L20258
c3641	L20259
c3642	L20260
c3643	L20261
c3644	L20262
c3652	L20263
c3656	L20264
c3658	L20265
c3662	L20266
c3664	L20267
c3666	L20268
c3670	L20269
c3671	L20270
c3673	L20271
c3683	L20272
c3686	L20273
c3687	L20274
c3688	L20275
c3690	L20276
c3692	L20277
c3701	L20278
c3705	L20279
c3712	L20280
c3713	L20281
c3715	L20282
c3716	L20283
c3720	L20284
c3721	L20285
c3722	L20286
c3725	L20287
c3726	L20288
c3728	L20289
c3729	L20290
c3731	L20291
c3734	L20292
c3735	L20293
c3736	L20294
c3740	L20295
c3740_sc	L20296
c3746	L20297
c3748	L20298
c3750	L20299
c3751	L20300
c3752	L20301
c3757	L20302
c3765	L20303
c3770	L20304
c3772	L20305
c3774	L20306
c3775	L20307
c3787	L20308
c3792	L20309
c3794	L20310
c3795	L20311
c3799	L20312
c3802	L20313
c3804	L20314
c3805	L20315
c3811	L20316
c3813	L20317
c3813_sc	L20318
c3817	L20319
c3818	L20320
c3820	L20321
c3821	L20322
c3823	L20323
c3829	L20324
c3831	L20325
c3832	L20326
c3833	L20327
c3836	L20328
c3840	L20329
c3842	L20330
c3843	L20331
c3844	L20332
c3847	L20333
c3849	L20334
c3853	L20335
c3854	L20336
c3855	L20337
c3858	L20338
c3859	L20339
c3860	L20340
c3864	L20341
c3867	L20342
c3868	L20343
c3869	L20344
c3870	L20345
c3872	L20346
c3878	L20347
c3879	L20348
c3880	L20349
c3881	L20350
c3883	L20351
c3889	L20352
c3892	L20353
c3894	L20354
c3895	L20355
c3899	L20356
c3901	L20357
c3905	L20358
c3909	L20359
c3911	L20360
c3913	L20361
c3914	L20362
c3915	L20363
c3921	L20364
c3924	L20365
c3926	L20366
