lexeme	lila_lemma	wikibase_entry
f9225	L22088
f9227	L22089
f9228	L22090
f9229	L22091
f9316	L22092
f9317	L22093
f9540	L22094
f9644	L22095
f9706	L22096
f9795	L22097
f9910	L22098
f9911	L22099
f9937	L22100
f9993	L22101
g0016	L22102
g0034	L22103
g0062	L22104
g0076	L22105
g0077	L22106
g0081	L22107
g0090	L22108
g0093	L22109
g0102	L22110
g0120	L22111
g0128	L22112
g0140	L22113
g0144	L22114
g0149	L22115
g0150	L22116
g0153	L22117
g0156	L22118
g0168	L22119
g0174	L22120
g0190	L22121
g0202	L22122
g0234	L22123
g0237	L22124
g0238	L22125
g0268	L22126
g0271	L22127
g0272	L22128
g0274	L22129
g0288	L22130
g0308	L22131
g0316	L22132
g0318	L22133
g0321	L22134
g0322	L22135
g0351	L22136
g0352	L22137
g0357	L22138
g0376	L22139
g0380	L22140
g0385	L22141
g0390	L22142
g0391	L22143
g0397	L22144
g0406	L22145
g0409	L22146
g0420	L22147
g0421	L22148
g0422	L22149
g0435	L22150
g0438	L22151
g0439	L22152
g0449	L22153
g0450	L22154
g0476	L22155
g0482	L22156
g0485	L22157
g0498	L22158
g0501	L22159
g0503	L22160
g0522	L22161
g0529	L22162
g0534	L22163
g0537	L22164
g0560	L22165
g0566	L22166
g0571	L22167
g0578	L22168
g0589	L22169
g0592	L22170
g0601	L22171
g0607	L22172
g0615	L22173
g0630	L22174
g0631	L22175
g0643	L22176
g0666	L22177
g0690	L22178
g0695	L22179
h0004	L22180
h0015	L22181
h0017	L22182
h0018	L22183
h0029	L22184
h0044	L22185
h0053	L22186
h0066	L22187
h0074	L22188
h0097	L22189
h0118	L22190
h0127	L22191
h0147	L22192
h0158	L22193
h0158_sc	L22194
h0163	L22195
h0203	L22196
h0274	L22197
h0274_sc	L22198
h0276	L22199
h0283	L22200
h0290	L22201
h0295	L22202
h0351	L22203
h0358	L22204
h0365	L22205
h0380	L22206
h0381	L22207
h0385	L22208
h0397	L22209
h0402	L22210
h0404	L22211
h0410	L22212
h0449	L22213
h0451	L22214
h0460	L22215
h0475	L22216
h0485	L22217
h0537	L22218
h0544	L22219
h0548	L22220
h0565	L22221
h0569	L22222
h0580	L22223
h0586	L22224
h0586_sc	L22225
h0596	L22226
h0599	L22227
h0614	L22228
h0626	L22229
h0638	L22230
h0648	L22231
h0653	L22232
h0654	L22233
h0657	L22234
h0659	L22235
h0660	L22236
h0723	L22237
h0724	L22238
h0726	L22239
h0727	L22240
h0952	L22241
h9162	L22242
i0002	L22243
i0003	L22244
i0012	L22245
i0013	L22246
i0021	L22247
i0057	L22248
i0097	L22249
i0113	L22250
i0117	L22251
i0121	L22252
i0123	L22253
i0125	L22254
i0141	L22255
i0153	L22256
i0155	L22257
i0160	L22258
i0162	L22259
i0176	L22260
i0177	L22261
i0182	L22262
i0186	L22263
i0192	L22264
i0193	L22265
i0195	L22266
i0201	L22267
i0207	L22268
i0211	L22269
i0213	L22270
i0215	L22271
i0226	L22272
i0229	L22273
i0232	L22274
i0235	L22275
i0238	L22276
i0242	L22277
i0245	L22278
i0245	L22278
i0247	L22279
i0256	L22280
i0258	L22281
i0258_sc	L22282
i0259	L22283
i0261	L22284
i0262	L22285
i0264	L22286
i0268	L22287
i0281	L22288
i0293	L22289
i0298	L22290
i0300	L22291
i0306	L22292
i0307	L22293
i0309	L22294
i0315	L22295
i0320	L22296
i0324	L22297
i0325	L22298
i0326	L22299
i0336	L22300
i0339	L22301
i0340	L22302
i0342	L22303
i0347	L22304
i0349	L22305
i0357	L22306
i0368	L22307
i0370	L22308
i0376	L22309
i0377	L22310
i0378	L22311
i0380	L22312
i0388	L22313
i0403	L22314
i0404	L22315
i0405	L22316
i0406	L22317
i0410	L22318
i0411	L22319
i0412	L22320
i0417	L22321
i0421	L22322
i0428	L22323
i0430	L22324
i0436	L22325
i0439	L22326
i0448	L22327
i0459	L22328
i0461	L22329
i0461	L22329
i0463	L22330
i0464	L22331
i0465	L22332
i0469	L22333
i0475	L22334
i0484	L22335
i0495	L22336
i0499	L22337
i0503	L22338
i0514	L22339
i0514	L22339
i0522	L22340
i0527	L22341
i0532	L22342
i0533	L22343
i0539	L22344
i0547	L22345
i0549	L22346
i0551	L22347
i0552	L22348
i0558	L22349
i0560	L22350
i0564	L22351
i0566	L22352
i0572	L22353
i0573	L22354
i0574	L26627
i0577	L22355
i0578	L22356
i0580	L22357
i0591	L22358
i0593	L22359
i0593	L22359
i0599	L22360
i0614	L22361
i0626	L22362
i0629	L22363
i0632	L22364
i0638	L22365
i0639	L22366
i0652	L22367
i0677	L22368
i0679	L22369
i0691	L22370
i0697	L22371
i0698	L22372
i0706	L22373
i0715	L22374
i0718	L22375
i0726	L22376
i0731	L22377
i0734	L22378
i0739	L22379
i0739_sc	L22380
i0740	L22381
i0741	L22382
i0743	L22383
i0745	L22384
i0746	L22385
i0748	L22386
i0749	L22387
i0753	L22388
i0756	L22389
i0766	L22390
i0775	L22391
i0778	L22392
i0779	L22393
i0779_sc	L22394
i0780	L22395
i0783	L22396
i0789	L22397
i0798	L22398
i0801	L22399
i0805	L22400
i0816	L22401
i0817	L22402
i0818	L22403
i0820	L22404
i0821	L22405
i0822	L22406
i0823	L22407
i0824	L22408
i0824_sc	L22409
i0828	L22410
i0831	L22411
i0836	L22412
i0844	L22413
i0845	L22414
i0848	L22415
i0853	L22416
i0858	L22417
i0859	L22418
i0871	L22419
i0874	L22420
i0875	L22421
i0877	L22422
i0882	L22423
i0885	L22424
i0889	L22425
i0895	L22426
i0897	L22427
i0898	L22428
i0901	L22429
i0903	L22430
i0904	L22431
i0906	L22432
i0907	L22433
i0908	L22434
i0923	L22435
i0929	L22436
i0930	L22437
i0931	L22438
i0935	L22439
i0944	L22440
i0945	L22441
i0955	L22442
i0957	L22443
i0960	L22444
i0965	L22445
i0974	L22446
i0984	L22447
i1008	L22448
i1079	L22449
i1080	L22450
i1088	L22451
i1098	L22452
i1099	L22453
i1101	L22454
i1102	L22455
i1109	L22456
i1116	L22457
i1117	L22458
i1118	L22459
i1119	L22460
i1120	L22461
i1126	L22462
i1130	L22463
i1131	L22464
i1134	L22465
i1137	L22466
i1141	L22467
i1143	L22468
i1148	L22469
i1156	L22470
i1161	L22471
i1162	L22472
i1166	L22473
i1169	L22474
i1176	L22475
i1179	L22476
i1185	L22477
i1190	L22478
i1197	L22479
i1228	L22480
i1252	L22481
i1253	L22482
i1264	L22483
i1270	L22484
i1272	L22485
i1280	L22486
i1286	L22487
i1290	L22488
i1295	L22489
i1325	L22490
i1336	L22491
i1342	L22492
i1343	L22493
i1346	L22494
i1351	L22495
i1352	L22496
i1361	L22497
i1362	L22498
i1366	L22499
i1367	L22500
i1368	L22501
i1369	L22502
i1372	L22503
i1383	L22504
i1408	L22505
i1421	L22506
i1423	L22507
i1428	L22508
i1431	L22509
i1433	L22510
i1439	L22511
i1503	L22512
i1509	L22513
i1517	L22514
i1522	L22515
i1527	L22516
i1534	L22517
i1538	L22518
i1541	L22519
i1544	L22520
i1548	L22521
i1552	L22522
i1553	L22523
i1553_sc	L22524
i1557	L22525
i1559	L22526
i1562	L22527
i1563	L22528
i1567	L22529
i1572	L22530
i1574	L22531
i1575	L22532
i1584	L22533
i1586	L22534
i1587	L22535
i1595	L22536
i1596	L22537
i1598	L22538
i1602	L22539
i1607	L22540
i1613	L22541
i1614	L22542
i1615	L22543
i1617	L22544
i1620	L22545
i1628	L22546
i1629	L22547
i1640	L22548
i1642	L22549
i1644	L22550
i1648	L22551
i1649	L22552
i1650	L22553
i1651	L22554
i1652	L22555
i1653	L22556
i1662	L22557
i1667	L22558
i1668	L22559
i1670	L22560
i1671	L22561
i1672	L22562
i1676	L22563
i1678	L22564
i1679	L22565
i1680	L22566
i1681	L22567
i1683	L22568
i1692	L22569
i1695	L22570
i1696	L22571
i1699	L22572
i1702	L22573
i1708	L22574
i1709	L22575
i1711	L22576
i1712	L22577
i1714	L22578
i1719	L22579
i1721	L22580
i1727	L22581
i1728	L22582
i1729	L22583
i1730	L22584
i1732	L22585
i1734	L22586
i1735	L22587
i1736	L22588
i1739	L22589
i1746	L22590
i1747	L22591
i1747_sc	L22592
i1748	L22593
i1757	L22594
i1759	L22595
i1763	L22596
i1764	L22597
i1766	L22598
i1781	L22599
i1788	L22600
i1790	L22601
i1797	L22602
i1800	L22603
i1803	L22604
i1808	L22605
i1812	L22606
i1813	L22607
i1815	L22608
i1816	L22609
i1818	L22610
i1819	L22611
i1820	L22612
i1821	L22613
i1826	L22614
i1830	L22615
i1833	L22616
i1835	L22617
i1839	L22618
i1842	L22619
i1851	L22620
i1854	L22621
i1856	L22622
i1859	L22623
i1872	L22624
i1875	L22625
i1876	L22626
i1877	L22627
i1882	L22628
i1885	L22629
i1886	L22630
i1908	L22631
i1909	L22632
i1914	L22633
i1919	L22634
i1926	L22635
i1927	L22636
i1928	L22637
i1933	L22638
i1935	L22639
i1941	L22640
i1944	L22641
i1945	L22642
i1955	L22643
i1956	L22644
i1959	L22645
i1965	L22646
i1970	L22647
i1973	L22648
i1974	L22649
i1977	L22650
i1986	L22651
i1987	L22652
i1998	L22653
i2001	L22654
i2002	L22655
i2003	L22656
i2007	L22657
i2008	L22658
i2009	L22659
i2011	L22660
i2016	L22661
i2020	L22662
i2022	L22663
i2026	L22664
i2030	L22665
i2031	L22666
i2039	L22667
i2042	L22668
i2043	L22669
i2054	L22670
i2058	L22671
i2069	L22672
i2075	L22673
i2076	L22674
i2084	L22675
i2090	L22676
i2093	L22677
i2095	L22678
i2100	L22679
i2101	L22680
i2103	L22681
i2104	L22682
i2105	L22683
i2106	L22684
i2107	L22685
i2115	L22686
i2116	L22687
i2117	L22688
i2122	L22689
i2124	L22690
i2126	L22691
i2128	L22692
i2129	L22693
i2130	L22694
i2136	L22695
i2140	L22696
i2143	L22697
i2144	L22698
i2145	L22699
i2146	L22700
i2151	L22701
i2163	L22702
i2166	L22703
i2167	L22704
i2168	L22705
i2169	L22706
i2174	L22707
i2181	L22708
i2190	L22709
i2191	L22710
i2193	L22711
i2195	L22712
i2200	L22713
i2206	L22714
i2207	L22715
i2211	L22716
i2212	L22717
i2215	L22718
i2216	L22719
i2220	L22720
i2231	L22721
i2233	L22722
i2245	L22723
i2246	L22724
i2247	L22725
i2252	L22726
i2253	L22727
i2253_sc	L22728
i2256	L22729
i2257	L22730
i2264	L22731
i2266	L22732
i2267	L22733
i2268	L22734
i2272	L22735
i2273	L22736
i2274	L22737
i2278	L22738
i2283	L22739
i2284	L22740
i2286	L22741
i2287	L22742
i2290	L22743
i2292	L22744
i2294	L22745
i2295	L22746
i2300	L22747
i2307	L22748
i2317	L22749
i2318	L22750
i2319	L22751
i2329	L22752
i2331	L22753
i2332	L22754
i2333	L22755
i2335	L22756
i2336	L22757
i2337	L22758
i2338	L22759
i2339	L22760
i2340	L22761
i2341	L22762
i2342	L22763
i2344	L22764
i2346	L22765
i2348	L22766
i2349	L22767
i2353	L22768
i2357	L22769
i2360	L22770
i2362	L22771
i2363	L22772
i2364	L22773
i2366	L22774
i2367	L22775
i2368	L22776
i2370	L22777
i2373	L22778
i2375	L22779
i2376	L22780
i2377	L22781
i2380	L22782
i2382	L22783
i2383	L22784
i2386	L22785
i2388	L22786
i2391	L22787
i2393	L22788
i2395	L22789
i2397	L22790
i2398	L22791
i2401	L22792
i2402	L22793
i2404	L22794
i2410	L22795
i2411	L22796
i2412	L22797
i2413	L22798
i2414	L22799
i2417	L22800
i2419	L22801
i2422	L22802
i2426	L22803
i2427	L22804
i2431	L22805
i2433	L22806
i2440	L22807
i2441	L22808
i2452	L22809
i2453	L22810
i2455	L22811
i2456	L22812
i2457	L22813
i2458	L22814
i2459	L22815
i2465	L22816
i2476	L22817
i2477	L22818
i2480	L22819
i2484	L22820
i2485	L22821
i2486	L22822
i2487	L22823
i2489	L22824
i2490	L22825
i2491	L22826
i2493	L22827
i2494	L22828
i2496	L22829
i2498	L22830
i2499	L22831
i2502	L22832
i2506	L22833
i2507	L22834
i2508	L22835
i2509	L22836
i2510	L22837
i2511	L22838
i2512	L22839
i2514	L22840
i2518	L22841
i2523	L22842
i2524	L22843
i2525	L22844
i2526	L22845
i2527	L22846
i2529	L22847
i2534	L22848
i2536	L22849
i2538	L22850
i2539	L22851
i2540	L22852
i2541	L22853
i2544	L22854
i2545	L22855
i2546	L22856
i2552	L22857
i2557	L22858
i2560	L22859
i2562	L22860
i2565	L22861
i2566	L22862
i2567	L22863
i2568	L22864
i2569	L22865
i2577	L22866
i2585	L22867
i2589	L22868
i2591	L22869
i2594	L22870
i2596	L22871
i2597	L22872
i2606	L22873
i2609	L22874
i2610	L22875
i2612	L22876
i2614	L22877
i2615	L22878
i2620	L22879
i2622	L22880
i2624	L22881
i2627	L22882
i2630	L22883
i2631	L22884
i2637	L22885
i2638	L22886
i2644	L22887
i2649	L22888
i2659	L22889
i2662	L22890
i2665	L22891
i2666	L22892
i2671	L22893
i2672	L22894
i2674	L22895
i2678	L22896
i2683	L22897
i2687	L22898
i2688	L22899
i2689	L22900
i2693	L22901
i2696	L22902
i2698	L22903
i2701	L22904
i2702	L22905
i2713	L22906
i2718	L22907
i2719	L22908
i2723	L22909
i2724	L22910
i2725	L22911
i2728	L22912
i2729	L22913
i2733	L22914
i2734	L22915
i2735	L22916
i2741	L22917
i2743	L22918
i2746	L22919
i2747	L22920
i2748	L22921
i2754	L22922
i2763	L22923
i2770	L22924
i2788	L22925
i2788_sc	L22926
i2797	L22927
i2802	L22928
i2803	L22929
i2808	L22930
i2841	L22931
i2847	L22932
i2858	L22933
i2868	L22934
i2873	L22935
i2887	L22936
i2889	L22937
i2891	L22938
i2893	L22939
i2894	L22940
i2895	L22941
i2896	L22942
i2897	L22943
i2898	L22944
i2900	L22945
i2901	L22946
i2905	L22947
i2906	L22948
i2907	L22949
i2909	L22950
i2966	L22951
i2971	L22952
i2973	L22953
i2974	L22954
i2980	L22955
i2983	L22956
i2988	L22957
i2999	L22958
i3013	L22959
i3015	L22960
i3016	L22961
i3023	L22962
i3026	L22963
i3044	L22964
i3057	L22965
i3060	L22966
i3067	L22967
i3086	L22968
i3096	L22969
i3097	L22970
i3097_sc	L22971
i3104	L22972
i3107	L22973
i3110	L22974
i3116	L22975
i3117	L22976
i3118	L22977
i3119	L22978
i3121	L22979
i3139	L22980
i3178	L22981
i6081	L22982
i7042	L22983
i7889	L22984
i8955	L22985
i9021	L22986
i9340	L22987
i9462	L22988
i9546	L22989
i9920	L22990
i9921	L22991
i9922	L22992
i9923	L22993
i9924	L22994
i9925	L22995
i9926	L22996
i9927	L22997
i9929	L22998
i9930	L22999
l0007	L23000
l0009	L23001
l0010	L23002
l0021	L23003
l0024	L23004
l0025	L23005
l0030	L23006
l0044	L23007
l0054	L23008
l0061	L23009
l0062	L23010
l0068	L23011
l0074	L23012
l0080	L23013
l0080_sc	L23014
l0090	L23015
l0091	L23016
l0100	L23017
l0103	L23018
l0111	L23019
l0115	L23020
l0122	L23021
l0124	L23022
l0128	L23023
l0146	L23024
l0151	L23025
l0154	L23026
l0156	L23027
l0157	L23028
l0166	L23029
l0182	L23030
l0191	L23031
l0196	L23032
l0203	L23033
l0205	L23034
l0206	L23035
l0228	L23036
l0233	L23037
l0260	L23038
l0262	L23039
l0265	L23040
l0269	L23041
l0280	L23042
l0284	L23043
l0289	L23044
l0294	L23045
l0313	L23046
l0320	L23047
l0323	L23048
l0331	L23049
l0333	L23050
l0342	L23051
l0352	L23052
l0356	L23053
l0361	L23054
l0365	L23055
l0366	L23056
l0373	L23057
l0383	L23058
l0388	L23059
l0402	L23060
l0411	L23061
l0415	L23062
l0416	L23063
l0446	L23064
l0461	L23065
l0463	L23066
l0470	L23067
l0493	L23068
l0495	L23069
l0496	L23070
l0502	L23071
l0513	L23072
l0516	L23073
l0521	L23074
l0525	L23075
l0529	L23076
l0529_sc	L23077
l0541	L23078
l0550	L23079
l0593	L23080
l0637	L23081
l0638	L23082
l0646	L23083
l0684	L23084
l0691	L23085
l0693	L23086
l0697	L23087
l0711	L23088
l0715	L23089
l0722	L23090
l0727	L23091
l0731	L23092
l0748	L23093
l0753	L23094
l0756	L23095
l0788	L23096
l0792	L23097
l0799	L23098
l0818	L23099
l0820	L23100
l0821	L23101
l0835	L23102
l0841	L23103
l0845	L23104
l0849	L23105
l0855	L23106
l0863	L23107
l0867	L23108
l0878	L23109
l0880	L23110
l0881	L23111
l0881_sc	L23112
l0887	L23113
l0888	L23114
l0894	L23115
l0916	L23116
l0917	L23117
l0927	L23118
l0937	L23119
l0940	L23120
l0940_sc	L23121
l0942	L23122
l0964	L23123
l0965	L23124
l0974	L23125
l0976	L23126
l0995	L23127
l1007	L23128
l1017	L23129
l1019	L23130
l1021	L23131
l1028	L23132
l1041	L23133
l1042	L23134
l1051	L23135
l1065	L23136
l1075	L23137
l1085	L23138
l1094	L23139
l1106	L23140
l1111	L23141
l1122	L23142
l1125	L23143
l1126	L23144
l1131	L23145
l1147	L23146
l1153	L23147
l1157	L23148
l1161	L23149
l1178	L23150
l1183	L23151
l1185	L23152
l1198	L23153
l1199	L23154
l1203	L23155
l1205	L23156
l1219	L23157
l1232	L23158
l1240	L23159
l1243	L23160
l1244	L23161
l1247	L23162
l1252	L23163
l1255	L23164
l1280	L23165
l1297	L23166
l1298	L23167
l8007	L23168
l8252	L23169
l9893	L23170
l9894	L23171
l9915	L23172
l9916	L23173
l9917	L23174
l9918	L23175
l9921	L23176
m0012	L23177
m0017	L23178
m0018	L23179
m0018_sc	L23180
m0030	L23181
m0035	L23182
m0038	L23183
m0039	L23184
m0042	L23185
m0053	L23186
m0058	L23187
m0060	L23188
m0061	L23189
m0062	L23190
m0064	L23191
m0064_sc	L23192
m0065	L23193
m0077	L23194
m0080	L23195
m0083	L23196
m0105	L23197
m0122	L23198
m0150	L23199
m0158	L23200
m0168	L23201
m0170	L23202
m0187	L23203
m0206	L23204
m0213	L23205
m0230	L23206
m0252	L23207
m0260	L23208
m0261	L23209
m0269	L23210
m0273	L23211
m0279	L23212
m0283	L23213
m0291	L23214
m0305	L23215
m0309	L23216
m0313	L23217
m0314	L23218
m0317	L23219
m0319	L23220
m0330	L23221
m0333	L23222
m0334	L23223
m0358	L23224
m0371	L23225
m0371_sc	L23226
m0387	L23227
m0396	L23228
m0404	L23229
m0419	L23230
m0428	L23231
m0434	L23232
m0441	L23233
m0450	L23234
m0456	L23235
m0466	L23236
m0490	L23237
m0491	L23238
m0493	L23239
m0493_sc	L23240
m0525	L23241
m0547	L23242
m0555	L23243
m0572	L23244
m0578	L23245
m0588	L23246
m0627	L23247
m0651	L23248
m0687	L23249
m0693	L23250
m0706	L23251
m0721	L23252
m0743	L23253
m0754	L23254
m0760	L23255
m0768	L23256
m0784	L23257
m0787	L23258
m0791	L23259
m0792	L23260
m0797	L23261
m0802	L23262
m0803	L23263
m0812	L23264
m0817	L23265
m0825	L23266
m0826	L23267
m0827	L23268
m0893	L23269
m0894	L23270
m0897	L23271
m0917	L23272
m0954	L23273
m0957	L23274
m0963	L23275
m0966	L23276
m0973	L23277
m0990	L23278
m1024	L23279
m1032	L23280
m1033	L23281
m1042	L23282
m1046	L23283
m1048	L23284
m1051	L23285
m1054	L23286
m1056	L23287
m1057	L23288
m1058	L23289
m1071	L23290
m1087	L23291
m1092	L23292
m1097	L23293
m1105	L23294
m1113	L23295
m1119	L23296
m1122	L23297
m1127	L23298
m1129	L23299
m1135	L23300
m1136	L23301
m1143	L23302
m1158	L23303
m1167	L23304
m1177	L23305
m1188	L23306
m1196	L23307
m1198	L23308
m1212	L23309
m1215	L23310
m1223	L23311
m1227	L23312
m1227_sc	L23313
m1232	L23314
m1236	L23315
m1245	L23316
m1289	L23317
m1292	L23318
m1299	L23319
m1354	L23320
m1384	L23321
m1385	L23322
m1389	L23323
m1395	L23324
m1400	L23325
m1407	L23326
m1411	L23327
m1416	L23328
m1423	L23329
m1433	L23330
m1439	L23331
m1451	L23332
m1453	L23333
m1456	L23334
m1459	L23335
m1459_sc	L23336
m1475	L23337
m1476	L23338
m1477	L23339
m1485	L23340
m1587	L23341
m1593	L23342
m1600	L23343
m1608	L23344
m1671	L23345
m1683	L23346
m1693	L23347
m1707	L23348
m1713	L23349
m1723	L23350
m1724	L23351
m1732	L23352
m1739	L23353
m1743	L23354
m1747	L23355
m1778	L23356
m1781	L23357
m1782	L23358
m1813	L23359
m1823	L23360
m1827	L23361
m1834	L23362
m1836	L23363
m1853	L23364
m1857	L23365
m1862	L23366
m1864	L23367
m1866	L23368
m1873	L23369
m1876	L23370
m9603	L23371
m9604	L23372
m9605	L23373
m9606	L23374
m9607	L23375
m9608	L23376
m9609	L23377
n0009	L23378
n0012	L23379
n0013	L23380
n0039	L23381
n0044	L23382
n0064	L23383
n0069	L23384
n0081	L23385
n0087	L23386
n0102	L23387
n0108	L23388
n0112	L23389
n0117	L23390
n0148	L23391
n0151	L23392
n0160	L23393
n0180	L23394
n0184	L23395
n0185	L23396
n0193	L23397
n0198	L23398
n0211	L23399
n0226	L23400
n0233	L23401
n0249	L23402
n0269	L23403
n0275	L23404
n0276	L23405
n0281	L23406
n0286	L23407
n0293	L23408
n0294	L23409
n0294_sc	L23410
n0295	L23411
n0298	L23412
n0301	L23413
n0313	L23414
n0322	L23415
n0325	L23416
n0329	L23417
n0335	L23418
n0335_sc	L23419
n0338	L23420
n0442	L23421
n0443	L23422
n0444	L23423
n0447	L23424
n0448	L23425
n0453	L23426
n0478	L23427
n0489	L23428
n0504	L23429
n0505	L23430
n0529	L23431
n0533	L23432
n0534	L23433
n0543	L23434
n0548	L23435
n0552	L23436
n0567	L23437
n0579	L23438
n0586	L23439
n0602	L23440
n0606	L23441
n0616	L23442
n0627	L23443
n0641	L23444
n0647	L23445
n0658	L23446
n0676	L23447
n0684	L23448
n0689	L23449
n0699	L23450
n0701	L23451
n0710	L23452
n0712	L23453
n0717	L23454
n0720	L23455
n0750	L23456
n0756	L23457
n9320	L23458
n9322	L23459
n9701	L23460
n9823	L23461
n9911	L23462
o0003	L23463
o0004	L23464
o0005	L23465
o0008	L23466
o0010	L23467
o0011	L23468
o0011_sc	L23469
o0012	L23470
o0013	L23471
o0014	L23472
o0017	L23473
o0019	L23474
o0022	L23475
o0023	L23476
o0025	L23477
o0026	L23478
o0027	L23479
o0028	L23480
o0030	L23481
o0031	L23482
o0032	L23483
o0034	L23484
o0035	L23485
o0038	L23486
o0040	L23487
o0041	L23488
o0042	L23489
o0045	L23490
o0047	L23491
o0048	L23492
o0049	L23493
o0050	L23494
o0051	L23495
o0052	L23496
o0058	L23497
o0061	L23498
o0068	L23499
o0069	L23500
o0070	L23501
o0072	L23502
o0080	L23503
o0087	L23504
o0090	L23505
o0091	L23506
o0094	L23507
o0095	L23508
o0096	L23509
o0097	L23510
o0098	L23511
o0099	L23512
o0102	L23513
o0104	L23514
o0107	L23515
o0112	L23516
o0114	L23517
o0120	L23518
o0121	L23519
o0123	L23520
o0125	L23521
o0126	L23522
o0130	L23523
o0132	L23524
o0133	L23525
o0134	L23526
o0135	L23527
o0137	L23528
o0138	L23529
o0139	L23530
o0140	L23531
o0142	L23532
o0143	L23533
o0146	L23534
o0151	L23535
o0152	L23536
o0154	L23537
o0156	L23538
o0156	L23538
o0159	L23539
o0162	L23540
o0163	L23541
o0165	L23542
o0167	L23543
o0171	L23544
o0172	L23545
o0174	L23546
o0174_sc	L23547
o0177	L23548
o0179	L23549
o0180	L23550
o0181	L23551
o0182	L23552
o0187	L23553
o0189	L23554
o0190	L23555
o0191	L23556
o0192	L23557
o0194	L23558
o0197	L23559
o0202	L23560
o0205	L23561
o0209	L23562
o0218	L23563
o0221	L23564
o0222	L23565
o0228	L23566
o0229	L23567
o0234	L23568
o0236	L23569
o0241	L23570
o0243	L23571
o0246	L23572
o0247	L23573
o0248	L23574
o0249	L23575
o0250	L23576
o0252	L23577
o0255	L23578
o0257	L23579
o0258	L23580
o0259	L23581
o0262	L23582
o0264	L23583
o0267	L23584
o0268	L23585
o0269	L23586
o0269_sc	L23587
o0271	L23588
o0273	L23589
o0276	L23590
o0277	L23591
o0280	L23592
o0282	L23593
o0285	L23594
o0287	L23595
o0289	L23596
o0290	L23597
o0291	L23598
o0291_sc	L23599
o0292	L23600
o0293	L23601
o0294	L23602
o0295	L23603
o0297	L23604
o0298	L23605
o0299	L23606
o0300	L23607
o0302	L23608
o0304	L23609
o0305	L23610
o0307	L23611
o0307_sc	L23612
o0309	L23613
o0310	L23614
o0311	L23615
o0312	L23616
o0313	L23617
o0315	L23618
o0318	L23619
o0320	L23620
o0322	L23621
o0323	L23622
o0324	L23623
o0329	L23624
o0330	L23625
o0331	L23626
o0336	L23627
o0337	L23628
o0338	L23629
o0341	L23630
o0342	L23631
o0344	L23632
o0347	L23633
o0350	L23634
o0351	L23635
o0352	L23636
o0353	L23637
o0355	L23638
o0356	L23639
o0359	L23640
o0364	L23641
o0365	L23642
o0368	L23643
o0376	L23644
o0379	L23645
o0380	L23646
o0386	L23647
o0387	L23648
o0390	L23649
o0391	L23650
o0392	L23651
o0396	L23652
o0398	L23653
o0399	L23654
o0401	L23655
o0403	L23656
o0404	L23657
o0405	L23658
o0406	L23659
o0407	L23660
o0411	L23661
o0412	L23662
o0417	L23663
o0419	L23664
o0420	L23665
o0426	L23666
o0427	L23667
o0437	L23668
o0441	L23669
o0444	L23670
o0450	L23671
o0468	L23672
o0488	L23673
o0500	L23674
o0506	L23675
o0508	L23676
o0526	L23677
o0562	L23678
o0570	L23679
o0573	L23680
o0581	L23681
o0586	L23682
o0588	L23683
o0589	L23684
o0590	L23685
o0591	L23686
o0592	L23687
o0595	L23688
o0596	L23689
o0597	L23690
o0599	L23691
o0602	L23692
o0603	L23693
o0637	L23694
o0643	L23695
o0645	L23696
o0648	L23697
o0650	L23698
o0657	L23699
o0670	L23700
o0696	L23701
o0699	L23702
o0700	L23703
o0744	L23704
o0747	L23705
o0769	L23706
o0777	L23707
o0790	L23708
o0792	L23709
o0793	L23710
o0798	L23711
o0821	L23712
o0831	L23713
o0837	L23714
o0843	L23715
o0853	L23716
o0854	L23717
o0855	L23718
o0856	L23719
o0857	L23720
o0858	L23721
o0859	L23722
o0860	L23723
o0861	L23724
o0862	L23725
o0863	L23726
o0871	L23727
o0874	L23728
o0875	L23729
o0876	L23730
o0877	L26631
o0884	L23731
o0889	L23732
o0894	L23733
o0895	L23734
o0896	L23735
o0909	L23736
o0913	L23737
o0915	L23738
o0944	L23739
o0951	L23740
o0977	L23741
o0978	L23742
o1006	L23743
o1025	L23744
o1027	L23745
o1070	L23746
o1075	L23747
o1079	L23748
o1095	L23749
o1108	L23750
o1145	L23751
o1156	L23752
o1167	L23753
o1201	L23754
o9036	L23755
o9249	L23756
o9251	L23757
o9287	L23758
o9344	L23759
o9350	L23760
o9648	L23761
o9742	L23762
p0009	L23763
p0019	L23764
p0021	L23765
p0022	L23766
p0023	L23767
p0028	L23768
p0035	L23769
p0041	L23770
p0052	L23771
p0072	L23772
p0084	L23773
p0108	L23774
p0114	L23775
p0114_sc	L23776
p0118	L23777
p0123	L23778
p0133	L23779
p0141	L23780
p0147	L23781
p0148	L23782
p0158	L23783
p0160	L23784
p0161	L23785
p0188	L23786
p0213	L23787
p0214	L23788
p0215	L23789
p0217	L23790
p0223	L23791
p0276	L23792
p0279	L23793
p0351	L23794
p0361	L23795
p0367	L23796
p0390	L23797
p0391	L23798
p0410	L23799
p0411	L23800
p0413	L23801
p0419	L23802
p0442	L23803
p0459	L23804
p0468	L23805
p0472	L23806
p0477	L23807
p0481	L23808
p0496	L23809
p0497	L23810
p0513	L23811
p0517	L23812
p0523	L23813
p0529	L23814
p0540	L23815
p0543	L23816
