token,linked_form
Q30512,L21894-F4
Q12279,L20927-F1
Q4284,L19288-F110
Q27903,L23334-F7
Q55580,L25938-F4
Q49906,L25938-F4
Q30417,L23810-F159
Q14364,L21001-F504
Q23295,L25938-F24
Q54947,L25938-F1
Q17287,L25938-F1
Q53585,L22180-F10
Q61114,L25938-F4
Q5991,L19810-F4
Q30746,L25938-F1
Q49897,L25938-F4
Q25447,L23334-F36
Q35991,L22723-F4
Q10123,L20380-F1
Q9061,L20229-F4
Q10083,L20353-F109
Q11257,L20563-F16
Q8007,L20212-F40
Q71504,L24255-F5
Q10466,L20425-F159
Q30248,L23334-F61
Q34496,L25938-F4
Q9631,L20346-F10
Q59684,L23244-F198
Q25821,L26516-F5
Q51496,L22496-F14
Q35894,L25938-F4
Q42745,L23345-F183
Q10081,L20353-F27
Q52468,L23749-F199
Q63983,L25938-F4
Q55862,L21011-F4
Q67767,L25869-F173
Q19148,L24268-F4
Q59596,L25938-F1
Q1130,L18718-F19
Q3299,L19119-F26
Q9620,L20346-F7
Q45130,L25938-F4
Q23591,L23714-F38
Q15462,L21001-F138
Q14436,L21001-F397
Q65551,L25938-F4
Q16919,L26516-F58
Q56702,L22180-F18
Q47789,L23428-F11
Q68782,L25938-F1
Q4408,L19307-F170
Q36300,L24268-F1
Q63591,L25938-F1
Q69670,L24305-F182
Q65539,L25938-F4
Q54188,L25938-F4
Q4229,L19288-F8
Q62744,L25938-F4
Q61656,L21050-F4
Q26045,L25938-F4
Q23721,L25938-F4
Q30717,L25938-F4
Q1541,L18820-F25
Q1509,L18808-F1
Q14984,L21001-F110
Q32568,L25938-F4
Q62072,L24296-F7
Q14976,L21001-F112
Q7797,L20166-F163
Q53158,L24517-F224
Q37667,L25938-F1
Q3419,L19119-F8
Q22304,L25938-F7
Q71395,L24334-F160
Q35350,L22888-F58
Q55609,L22180-F4
Q20144,L24922-F178
Q25549,L24334-F160
Q29757,L25938-F4
Q66703,L25210-F110
Q62563,L23749-F175
Q5463,L19801-F476
Q4575,L19389-F15
Q52490,L25938-F4
Q14486,L21001-F8
Q63071,L22888-F58
Q23684,L25938-F4
Q57990,L25938-F4
Q55952,L25938-F4
Q45052,L24334-F166
Q34408,L25938-F4
Q22270,L25938-F7
Q45470,L23334-F4
Q25541,L24334-F177
Q57003,L25938-F1
Q17204,L25938-F4
Q25541,L24334-F253
Q26004,L25609-F1
Q61483,L25938-F4
Q19049,L25938-F5
Q19476,L25938-F7
Q29918,L21894-F4
Q8367,L20212-F40
Q58357,L23334-F7
Q25514,L25938-F108
Q25151,L22180-F1
Q26425,L25938-F1
Q26444,L25938-F108
Q30179,L24596-F10
Q41852,L21213-F147
Q30146,L25200-F4
Q27412,L26516-F55
Q30906,L21011-F13
Q42300,L21365-F177
Q42300,L21365-F253
Q19067,L26516-F55
Q42855,L25938-F4
Q57960,L25938-F4
Q37181,L25938-F4
Q60935,L25938-F108
Q10772,L20425-F184
Q8552,L20216-F1
Q38572,L24268-F7
Q25041,L25938-F4
Q7582,L20094-F4
Q20783,L24649-F8
Q64816,L25938-F4
Q29237,L25938-F7
Q26883,L25938-F109
Q24568,L25938-F4
Q34841,L24594-F165
Q30052,L26584-F193
Q60324,L22481-F147
Q22636,L22721-F458
Q20882,L26516-F55
Q11113,L20530-F55
Q42840,L25938-F4
Q41388,L26584-F131
Q29514,L22352-F297
Q40397,L21618-F10
Q64810,L25938-F34
Q66237,L25938-F30
Q20844,L25938-F4
Q18093,L25938-F4
Q26879,L25938-F108
Q63059,L26516-F55
Q50700,L25938-F4
Q56981,L25938-F4
Q35593,L23749-F1
Q4832,L19538-F7
Q28155,L24707-F161
Q4689,L19450-F466
Q51166,L25938-F4
Q923,L18707-F4
Q68475,L22490-F149
Q4689,L19450-F654
Q27337,L25938-F4
Q66979,L21184-F170
Q9155,L20248-F160
Q7118,L19983-F317
Q62373,L25938-F30
Q36674,L24268-F4
Q40354,L25938-F95
Q22512,L24153-F93
Q40354,L25939-F167
Q38729,L21957-F191
Q10839,L20474-F40
Q63820,L25938-F4
Q3624,L19143-F219
Q52395,L25938-F7
Q22485,L22329-F163
Q37658,L21214-F55
Q27027,L23334-F1
Q53916,L23818-F4
Q57297,L25525-F1
Q32915,L25938-F7
Q53830,L25938-F4
Q56140,L24765-F7
Q45730,L26516-F7
Q17190,L23334-F180
Q18163,L22180-F4
Q22154,L25883-F7
Q23592,L25938-F4
Q42784,L25938-F7
Q71218,L26516-F10
Q11635,L20796-F4
Q3731,L19158-F55
Q38962,L21894-F172
Q17739,L21894-F10
Q29295,L23396-F37
Q28277,L26516-F4
Q53348,L24596-F1
Q57887,L24596-F69
Q11058,L20530-F55
Q17644,L22258-F216
Q65759,L23749-F199
Q63916,L26215-F13
Q11629,L20796-F4
Q13910,L21001-F110
Q42274,L26584-F131
Q56000,L24153-F1
Q42919,L22721-F360
Q11942,L20880-F75
Q31491,L25938-F108
Q66873,L24268-F4
Q16947,L23804-F58
Q20774,L25938-F4
Q15266,L21001-F116
Q37557,L25938-F4
