lexeme_id	label
a2453	apotheco
a2460	apozymo
a2468	appareo
a2469	appario
a2473	apparo
a2474	appasco
a2476	appectoro
a2480	appellito
a2481	appello
a2482	appello
a2485	appendeo
a2488	appendo
a2491	appertineo
a2494	appetisso
a2498	appeto
a2500	appiciscor
a2501	appingo
a2504	applaudo
a2508	applico
a2510	apploro
a2512	applumbo
a2513	appono
a2516	apporto
a2517	apposco
a2520	appostulo
a2522	apprecor
a2523	apprehendo
a2526	apprenso
a2527	appretio
a2528	apprimo
a2535	approbo
a2538	appromitto
a2539	approno
a2540	appropero
a2542	appropinquo
a2543	appropio
a2545	approprio
a2546	approximo
a2547	appugno
a2548	appungo
a2553	aprico
a2575	apto
a2622	aquor
a2658	arbitro
a2662	arboresco
a2669	arbusto
a2683	arceo
a2688	arcesso
a2724	architecto
a2727	architectonor
a2763	arcuo
a2767	ardeo
a2773	arduuo
a2777	arefio
a2778	areo
a2778_sc	aresco
a2806	argumentor
a2809	arguo
a2816	arguto
a2834	arieto
a2888	armo
a2895	aro
a2901	aromatizo
a2912	arrepo
a2918	arrideo
a2919	arrigo
a2920	arrigo
a2921	arripio
a2924	arrodo
a2928	arrogo
a2929	arroro
a2956	articulo
a2967	artio
a2971	arto
a2978	artro
a2980	artuo
a3003	aruocito
a3016	ascalpo
a3021	ascendo
a3027	ascio
a3028	ascisco
a3034	ascribo
a3068	aspecto
a3070	aspello
a3075	aspergo
a3083	aspernor
a3084	aspero
a3091	aspicio
a3096	aspiro
a3101	asporto
a3107	aspuo
a3110	assaluto
a3116	assector
a3123	assello
a3124	assenesco
a3134	assentio
a3135	assentor
a3137	assequor
a3140	assero
a3141	assero
a3145	asseruio
a3147	asseruo
a3154	asseuero
a3155	assibilo
a3156	assiccesco
a3157	assicco
a3159	assideo
a3160	assido
a3162	assiduo
a3168	assignifico
a3169	assigno
a3170	assilentio
a3171	assilio
a3175	assimulo
a3177	assipio
a3183	asso
a3184	associo
a3186	assoleo
a3187	assolido
a3188	assolo
a3190	assono
a3191	assubrigo
a3192	assudesco
a3193	assuefacio
a3194	assuesco
a3196	assugo
a3201	assulto
a3203	assummo
a3204	assumo
a3209	assuo
a3210	assurgo
a3212	assuscipio
a3213	assuspiro
a3229	asterno
a3237	astipulo
a3238	astituo
a3239	asto
a3247	astrangulo
a3249	astrepo
a3253	astrido
a3255	astrifico
a3259	astringo
a3276	astruo
a3280	astupeo
a3329	attamino
a3334	attegro
a3337	attempero
a3338	attempto
a3339	attendo
a3344	attenuo
a3345	attermino
a3346	attero
a3351	attestor
a3352	attexo
a3355	atticisso
a3358	attillo
a3361	attineo
a3362	attingo
a3363	attinguo
a3365	attitulo
a3366	attolero
a3368	attollo
a3369	attondeo
a3370	attono
a3372	attorqueo
a3373	attorreo
a3376	attraho
a3378	attrecto
a3379	attremo
a3380	attrepido
a3381	attribuo
a3385	attropo
a3386	attueor
a3388	attumulo
a3389	attundo
a3400	attingo
a3406	auctifico
a3412	auctionor
a3413	auctito
a3416	aucto
a3423	auctoro
a3432	aucupo
a3437	audeo
a3440	audio
a3443	audito
a3448	aueo
a3450	aueho
a3451	auello
a3455	aueno
a3456	auerro
a3457	auerrunco
a3463	auersor
a3465	aueo
a3468	auerto
a3469	aufero
a3470	aufugio
a3471	augeo
a3472	augifico
a3478	augmento
a3490	auguro
a3491	augusto
a3497	auido
a3525	auoco
a3527	auolo
a3540	auresco
a3566	aurigo
a3574	auro
a3577	auroro
a3577_sc	auroresco
a3580	aurugino
a3588	ausculto
a3593	auspico
a3624	autumnasco
a3627	autumno
a3630	autumo
a3642	auxilio
a3657	axo
a3715	arefacio
a3716	assuefio
a6471	augesco
a7005	angustio
a7061	anno
a7118	antecello
a7990	aruio
a8068	affaueo
a8138	agero
a8662	amento
a9041	albeo
a9053	antedico
a9091	abluo
a9270	accieo
a9271	satago
a9311	accubito
a9959	accano
a9961	adhorreo
a9962	aduno
a9967	aggrego
b0022	baccho
b0029	baco
b0037	badizo
b0046	baiulo
b0057	balbo
b0058	balbutio
b0061	balito
b0074	ballo
b0086	balo
b0094	balteo
b0112	baptizo
b0119	barbarizo
b0126	barbesco
b0128	barbio
b0132	barbo
b0146	barrio
b0168	basio
b0179	bataclo
b0191	battuo
b0193	baubo
b0203	beatifico
b0209	bebo
b0231	bellifico
b0234	belligero
b0241	bello
b0276	benignor
b0278	beo
b0290	betizo
b0311	bibo
b0367	bilbo
b0402	bipertio
b0436	bito
b0440	bitumino
b0449	blactero
b0462	blandio
