token	linked_form
Q24021	L33992-F5
Q6331	L27857-F71
Q4963	L27585-F68
Q32133	L34272-F68
Q14638	L29049-F54
Q17231	L33992-F1
Q11552	L28792-F64
Q70995	L32321-F4
Q69749	L33992-F5
Q31317	L33039-F103
Q62409	L32647-F1
Q17195	L30774-F26
Q56510	L33992-F1
Q15999	L32387-F192
Q15162	L29049-F14
Q46884	L30939-F64
Q57947	L33992-F5
Q1041	L26736-F180
Q23405	L33992-F1
Q64472	L32321-F4
Q55746	L30547-F173
Q56081	L32647-F335
Q66449	L33992-F1
Q12961	L29049-F435
Q54185	L31385-F196
Q21452	L33992-F8
Q32486	L32321-F69
Q70004	L31801-F7
Q16533	L33992-F1
Q41505	L33302-F68
Q55771	L33992-F5
Q46379	L33992-F5
Q4081	L27275-F2
Q18652	L33992-F5
Q23741	L32206-F64
Q64835	L32321-F4
Q32740	L33530-F75
Q66933	L34570-F68
Q50849	L32321-F1
Q11554	L28792-F64
Q19836	L33992-F14
Q889	L26736-F1
Q31906	L33611-F10
Q11555	L28792-F263
Q32923	L33992-F5
Q39856	L33611-F190
Q43324	L33992-F5
Q57321	L33157-F109
Q11523	L28792-F263
Q27793	L33992-F1
Q27641	L33176-F443
Q32454	L31801-F68
Q19710	L29666-F7
Q52350	L34570-F71
Q32219	L33992-F1
Q27393	L33994-F7
Q48752	L33992-F5
Q54663	L33992-F1
Q46644	L33992-F5
Q7423	L28082-F2
Q60437	L29262-F4
Q43135	L31801-F68
Q7958	L28227-F129
Q35111	L33992-F8
Q69107	L33992-F1
Q11527	L28792-F1
Q3855	L27245-F99
Q3855	L27246-F99
Q61735	L29942-F199
Q52083	L33992-F8
Q55090	L30772-F324
Q9081	L28280-F71
Q40113	L33992-F41
Q15908	L29049-F137
Q70528	L33992-F14
Q34206	L33992-F5
Q16401	L32760-F83
Q10988	L28578-F4
