flexeme	lexeme	lila_lemma	wikibase_entry
i0430_5437	i0430	106463	L5147
i0436_5438	i0436	106469	L5148
i0436_5439	i0436	106469	L5149
i0439_5440	i0439	106472	L5150
i0439_5441	i0439	106472	L5151
i0448_5442	i0448	106482	L5152
i0448_5443	i0448	106482	L5153
i0459_5444	i0459	106493	L5154
i0459_5445	i0459	106493	L5155
i0461_5446	i0461	106495	L5156
i0461_5447	i0461	106495	L5157
i0461_5448	i0461	106495	L5158
i0461_5449	i0461	106495	L5159
i0461_5450	i0461	106495	L5160
i0461_5451	i0461	106495	L5161
i0463_5452	i0463	106497	L5162
i0463_5453	i0463	106497	L5163
i0464_5454	i0464	106498	L5164
i0464_5455	i0464	106498	L5165
i0465_5458	i0465	106499	L5166
i0465_5459	i0465	106499	L5167
i0469_5460	i0469	106504	L5168
i0469_5461	i0469	106504	L5169
i0475_5462	i0475	106510	L5170
i0475_5463	i0475	106510	L5171
i0484_5464	i0484	106519	L5172
i0484_5465	i0484	106519	L5173
i0495_5466	i0495	106531	L5174
i0495_5467	i0495	106531	L5175
i0499_5468	i0499	106535	L5176
i0499_5469	i0499	106535	L5177
i0503_5470	i0503	106539	L5178
i0503_5471	i0503	106539	L5179
i0503_5472	i0503	106539	L5180
i0514_5473	i0514	106552	L5181
i0514_5474	i0514	106552	L5182
i0514_5475	i0514	106552	L5183
i0514_5476	i0514	106552	L5184
i0514_5477	i0514	106552	L5185
i0514_5478	i0514	106552	L5186
i0514_5479	i0514	106552	L5187
i0514_5480	i0514	106552	L5188
i0514_5481	i0514	106552	L5189
i0514_5482	i0514	106552	L5190
i0522_5483	i0522	106561	L5191
i0522_5484	i0522	106561	L5192
i0527_5485	i0527	106567	L5193
i0527_5486	i0527	106567	L5194
i0532_5487	i0532	106572	L5195
i0532_5488	i0532	106572	L5196
i0532_5489	i0532	106572	L5197
i0532_5490	i0532	106572	L5198
i0533_5491	i0533	106573	L5199
i0533_5492	i0533	106573	L5200
i0539_5493	i0539	106579	L5201
i0539_5494	i0539	106579	L5202
i0547_5495	i0547	106588	L5203
i0547_5496	i0547	106588	L5204
i0549_5497	i0549	106590	L5205
